"film_id","f_score","r_score","m_score","frm_score"
121,2,2,2,222
115,2,2,2,222
546,2,2,2,222
991,2,2,2,222
921,2,2,2,222
150,2,2,2,222
616,2,2,2,222
967,2,2,2,222
716,2,2,2,222
42,2,2,2,222
505,2,2,2,222
474,2,2,2,222
847,2,2,2,222
308,2,2,2,222
987,2,2,2,222
999,2,2,2,222
410,2,2,2,222
438,2,2,2,222
724,2,2,2,222
975,2,2,2,222
463,2,2,2,222
58,2,2,2,222
664,2,2,2,222
24,2,2,2,222
988,2,2,2,222
829,2,2,2,222
900,2,2,2,222
484,2,2,2,222
526,2,2,2,222
152,2,2,2,222
480,2,2,2,222
620,2,2,2,222
333,2,2,2,222
184,2,2,2,222
634,2,2,1,221
851,2,2,1,221
436,2,2,1,221
457,2,2,1,221
963,2,2,1,221
40,2,2,1,221
275,2,2,1,221
896,2,2,1,221
560,2,2,1,221
992,2,2,1,221
797,2,2,1,221
882,2,2,1,221
717,2,2,1,221
424,2,2,1,221
631,2,2,1,221
429,2,2,1,221
732,2,2,1,221
524,2,2,1,221
948,2,2,1,221
840,2,2,1,221
795,2,2,1,221
913,2,2,1,221
728,2,2,1,221
737,2,2,1,221
534,2,2,1,221
747,2,2,1,221
287,2,2,1,221
618,2,2,1,221
796,2,2,1,221
746,2,2,1,221
311,2,2,1,221
282,2,2,1,221
688,2,2,1,221
269,2,2,1,221
111,2,2,1,221
589,2,2,1,221
84,2,1,3,213
68,2,1,3,213
611,2,1,3,213
226,2,1,3,213
878,2,1,3,213
141,2,1,3,213
686,2,1,3,213
512,2,1,3,213
265,2,1,3,213
858,2,1,3,213
202,2,1,3,213
170,2,1,3,213
465,2,1,3,213
426,2,1,3,213
583,2,1,3,213
654,2,1,3,213
749,2,1,3,213
570,2,1,3,213
969,2,1,3,213
294,2,1,3,213
336,2,1,3,213
887,2,1,3,213
446,2,1,3,213
588,2,1,3,213
381,2,1,3,213
173,2,1,3,213
455,2,1,3,213
964,2,1,3,213
398,2,1,3,213
818,2,1,3,213
396,2,1,3,213
679,2,1,2,212
478,2,1,2,212
962,2,1,2,212
473,2,1,2,212
448,2,1,2,212
394,2,1,2,212
774,2,1,2,212
678,2,1,2,212
626,2,1,2,212
175,2,1,2,212
916,2,1,2,212
561,2,1,2,212
544,2,1,2,212
432,2,1,2,212
690,2,1,2,212
783,2,1,2,212
16,2,1,2,212
373,2,1,2,212
615,2,1,2,212
770,2,1,2,212
158,2,1,2,212
657,2,1,2,212
788,2,1,2,212
96,2,1,2,212
693,2,1,2,212
298,2,1,2,212
169,2,1,2,212
784,2,1,2,212
232,2,1,2,212
380,2,1,2,212
529,2,1,2,212
299,2,1,1,211
877,2,1,1,211
619,2,1,1,211
924,2,1,1,211
552,2,1,1,211
241,2,1,1,211
925,2,1,1,211
673,2,1,1,211
830,2,1,1,211
34,2,1,1,211
493,2,1,1,211
942,2,1,1,211
832,2,1,1,211
427,2,1,1,211
186,2,1,1,211
85,2,1,1,211
623,2,1,1,211
809,2,1,1,211
932,2,1,1,211
479,2,1,1,211
601,2,1,1,211
629,2,1,1,211
110,2,1,1,211
383,2,1,1,211
907,2,1,1,211
344,2,1,1,211
894,2,1,1,211
652,2,1,1,211
348,2,1,1,211
133,1,3,3,133
994,1,3,3,133
765,1,3,3,133
597,1,3,3,133
798,1,3,3,133
151,1,3,3,133
93,1,3,3,133
639,1,3,3,133
134,1,3,3,133
815,1,3,2,132
905,1,3,2,132
328,1,3,2,132
567,1,3,2,132
264,1,3,2,132
917,1,3,2,132
338,1,3,2,132
13,1,3,2,132
761,1,3,2,132
405,1,3,2,132
375,1,3,2,132
889,1,3,2,132
75,1,3,2,132
662,1,3,2,132
5,1,3,2,132
472,1,3,2,132
296,1,3,2,132
977,1,3,2,132
740,1,3,2,132
102,1,3,2,132
2,1,3,2,132
573,1,3,2,132
779,1,3,2,132
528,1,3,2,132
337,1,3,2,132
721,1,3,2,132
80,1,3,2,132
632,1,3,2,132
633,1,3,2,132
705,1,3,2,132
719,1,3,2,132
530,1,3,2,132
511,1,3,1,131
990,1,3,1,131
163,1,3,1,131
904,1,3,1,131
178,1,3,1,131
581,1,3,1,131
125,1,3,1,131
935,1,3,1,131
146,1,3,1,131
53,1,3,1,131
290,1,3,1,131
605,1,3,1,131
168,1,3,1,131
553,1,3,1,131
886,1,3,1,131
585,1,3,1,131
813,1,3,1,131
758,1,3,1,131
250,1,3,1,131
399,1,3,1,131
357,1,3,1,131
836,1,3,1,131
998,1,3,1,131
63,1,3,1,131
613,1,3,1,131
819,1,3,1,131
441,1,3,1,131
974,1,3,1,131
321,1,2,3,123
71,1,2,3,123
919,1,2,3,123
487,1,2,3,123
568,1,2,3,123
88,1,2,3,123
984,1,2,2,122
576,1,2,2,122
60,1,2,2,122
435,1,2,2,122
368,1,2,2,122
470,1,2,2,122
182,1,2,2,122
653,1,2,2,122
729,1,2,2,122
459,1,2,2,122
413,1,2,2,122
74,1,2,2,122
3,1,2,2,122
540,1,2,2,122
393,1,2,2,122
692,1,2,2,122
726,1,2,2,122
248,1,2,2,122
881,1,2,2,122
210,1,2,2,122
120,1,2,2,122
519,1,2,2,122
957,1,2,2,122
342,1,2,2,122
214,1,2,2,122
543,1,2,2,122
276,1,2,2,122
983,1,2,2,122
781,1,2,2,122
20,1,2,2,122
32,1,2,2,122
522,1,2,2,122
918,1,2,2,122
389,1,2,2,122
207,1,2,2,122
113,1,2,2,122
627,1,2,2,122
312,1,2,2,122
469,1,2,2,122
9,1,2,2,122
355,1,2,1,121
194,1,2,1,121
362,1,2,1,121
157,1,2,1,121
262,1,2,1,121
762,1,2,1,121
799,1,2,1,121
635,1,2,1,121
831,1,2,1,121
622,1,2,1,121
185,1,2,1,121
866,1,2,1,121
569,1,2,1,121
153,1,2,1,121
196,1,2,1,121
839,1,2,1,121
258,1,2,1,121
617,1,2,1,121
834,1,2,1,121
297,1,2,1,121
939,1,2,1,121
718,1,2,1,121
223,1,2,1,121
722,1,2,1,121
197,1,2,1,121
947,1,2,1,121
594,1,2,1,121
430,1,2,1,121
558,1,2,1,121
547,1,2,1,121
106,1,2,1,121
996,1,2,1,121
259,1,2,1,121
787,1,2,1,121
794,1,2,1,121
848,1,2,1,121
400,1,2,1,121
940,1,2,1,121
475,1,2,1,121
517,1,2,1,121
933,1,1,3,113
177,1,1,3,113
65,1,1,3,113
323,1,1,3,113
145,1,1,3,113
867,1,1,3,113
661,1,1,3,113
98,1,1,3,113
640,1,1,2,112
372,1,1,2,112
508,1,1,2,112
515,1,1,2,112
188,1,1,2,112
828,1,1,2,112
550,1,1,2,112
187,1,1,2,112
503,1,1,2,112
422,1,1,2,112
256,1,1,2,112
960,1,1,2,112
883,1,1,2,112
371,1,1,2,112
884,1,1,2,112
682,1,1,2,112
390,1,1,2,112
47,1,1,2,112
30,1,1,2,112
240,1,1,2,112
209,1,1,2,112
224,1,1,2,112
46,1,1,2,112
124,1,1,2,112
888,1,1,2,112
211,1,1,2,112
268,1,1,2,112
825,1,1,2,112
903,1,1,2,112
104,1,1,2,112
537,1,1,2,112
780,1,1,2,112
279,1,1,2,112
928,1,1,2,112
126,1,1,2,112
449,1,1,2,112
384,1,1,2,112
564,1,1,2,112
934,1,1,2,112
952,1,1,2,112
499,1,1,2,112
685,1,1,2,112
293,1,1,2,112
769,1,1,2,112
565,1,1,2,112
587,1,1,2,112
824,1,1,2,112
695,1,1,2,112
278,1,1,2,112
731,1,1,2,112
533,1,1,2,112
340,1,1,2,112
156,1,1,2,112
837,1,1,2,112
29,1,1,2,112
246,1,1,2,112
714,1,1,2,112
230,1,1,2,112
659,1,1,2,112
316,1,1,2,112
703,1,1,2,112
853,1,1,2,112
826,1,1,2,112
817,1,1,2,112
700,1,1,2,112
699,1,1,2,112
811,1,1,2,112
539,1,1,2,112
92,1,1,2,112
591,1,1,2,112
411,1,1,2,112
466,1,1,2,112
485,1,1,2,112
161,1,1,2,112
289,1,1,2,112
310,1,1,2,112
582,1,1,2,112
208,1,1,2,112
978,1,1,1,111
76,1,1,1,111
910,1,1,1,111
751,1,1,1,111
684,1,1,1,111
425,1,1,1,111
257,1,1,1,111
335,1,1,1,111
577,1,1,1,111
343,1,1,1,111
821,1,1,1,111
107,1,1,1,111
213,1,1,1,111
520,1,1,1,111
27,1,1,1,111
899,1,1,1,111
315,1,1,1,111
225,1,1,1,111
498,1,1,1,111
306,1,1,1,111
584,1,1,1,111
612,1,1,1,111
541,1,1,1,111
548,1,1,1,111
477,1,1,1,111
523,1,1,1,111
283,1,1,1,111
516,1,1,1,111
885,1,1,1,111
339,1,1,1,111
490,1,1,1,111
736,1,1,1,111
959,1,1,1,111
180,1,1,1,111
401,1,1,1,111
82,1,1,1,111
566,1,1,1,111
752,1,1,1,111
352,1,1,1,111
454,1,1,1,111
237,1,1,1,111
876,1,1,1,111
549,1,1,1,111
754,1,1,1,111
507,1,1,1,111
630,1,1,1,111
931,1,1,1,111
509,1,1,1,111
675,1,1,1,111
492,1,1,1,111
364,1,1,1,111
766,1,1,1,111
965,1,1,1,111
52,1,1,1,111
513,1,1,1,111
808,1,1,1,111
656,1,1,1,111
868,1,1,1,111
593,1,1,1,111
62,1,1,1,111
997,1,1,1,111
238,1,1,1,111
674,1,1,1,111
926,1,1,1,111
291,1,1,1,111
94,1,1,1,111
136,1,1,1,111
750,1,1,1,111
431,1,1,1,111
923,1,1,1,111
636,1,1,1,111
482,1,1,1,111
407,1,1,1,111
64,1,1,1,111
822,1,1,1,111
261,1,1,1,111
66,1,1,1,111
423,1,1,1,111
538,1,1,1,111
