"film_id","title","most_recent","rental_id","rental_rate","inventory_id","rental_duration","rental_period"
348,"Gandhi Kwai","2005-05-25 13:52:43",87,"0.99",1586,7,4
480,"Jeepers Wedding","2005-05-25 14:13:54",88,"2.99",2221,3,4
471,"Island Exorcist","2005-05-25 14:28:29",89,"2.99",2181,7,4
654,"Panky Submarine","2005-05-25 14:31:25",90,"4.99",2984,4,7
28,"Anthem Luke","2005-05-25 14:57:22",91,"4.99",139,5,7
169,"Comforts Rush","2005-05-25 15:38:46",92,"2.99",775,3,6
951,"Voyage Legally","2005-05-25 15:54:16",93,"0.99",4360,6,9
366,"Goldfinger Sensibility","2005-05-25 16:03:42",94,"0.99",1675,3,5
39,"Armageddon Lost","2005-05-25 16:12:52",95,"0.99",178,5,8
748,"Rugrats Shakespeare","2005-05-25 16:32:19",96,"0.99",3418,4,5
284,"Enemy Odds","2005-05-25 16:34:24",97,"4.99",1283,5,3
651,"Packer Madigan","2005-05-25 16:48:24",98,"0.99",2970,3,2
117,"Candles Grapes","2005-05-25 16:50:20",99,"4.99",535,6,3
571,"Metal Armageddon","2005-05-25 16:50:28",100,"2.99",2599,6,8
134,"Champion Flatliners","2005-05-25 17:17:04",101,"4.99",617,4,6
82,"Blood Argonauts","2005-05-25 17:22:10",102,"0.99",373,3,6
735,"Robbers Joon","2005-05-25 17:30:42",103,"2.99",3343,7,9
932,"Valley Packer","2005-05-25 17:46:33",104,"0.99",4281,3,2
173,"Confessions Maguire","2005-05-25 17:54:12",105,"4.99",794,7,5
791,"Show Lord","2005-05-25 18:18:19",106,"4.99",3627,3,10
621,"Network Peak","2005-05-25 18:28:09",107,"2.99",2833,5,9
724,"Remember Diary","2005-05-25 18:30:05",108,"2.99",3289,5,5
233,"Disciple Mother","2005-05-25 18:40:20",109,"0.99",1044,3,4
893,"Titans Jerk","2005-05-25 18:43:49",110,"4.99",4108,4,9
814,"Snatch Slipper","2005-05-25 18:45:19",111,"4.99",3725,6,3
465,"Interview Liaisons","2005-05-25 18:57:24",112,"4.99",2153,4,8
649,"Oz Liaisons","2005-05-25 19:07:40",113,"2.99",2963,4,2
982,"Women Dorado","2005-05-25 19:12:42",114,"0.99",4502,4,7
164,"Coast Rainbow","2005-05-25 19:13:25",115,"0.99",749,4,4
973,"Wife Turn","2005-05-25 19:27:51",116,"4.99",4453,3,1
931,"Valentine Vanishing","2005-05-25 19:30:46",117,"0.99",4278,7,6
191,"Crooked Frogmen","2005-05-25 19:31:18",118,"0.99",872,6,6
300,"Falcon Volume","2005-05-25 19:37:02",119,"4.99",1359,5,4
8,"Airport Pollock","2005-05-25 19:37:47",120,"4.99",37,6,7
234,"Disturbing Scarface","2005-05-25 19:41:29",121,"2.99",1053,6,4
638,"Operation Operation","2005-05-25 19:46:21",122,"2.99",2908,7,8
390,"Guys Falcon","2005-05-25 20:26:42",123,"4.99",1795,4,1
48,"Backlash Undefeated","2005-05-25 20:46:11",124,"4.99",212,3,5
212,"Darn Forrester","2005-05-25 20:48:50",125,"4.99",952,7,8
445,"Hyde Doctor","2005-05-25 21:07:59",126,"2.99",2047,5,3
440,"Hunger Roof","2005-05-25 21:10:40",127,"0.99",2026,6,8
941,"Videotape Arsenic","2005-05-25 21:19:53",128,"4.99",4322,4,4
902,"Trading Pinocchio","2005-05-25 21:20:03",129,"4.99",4154,6,10
869,"Suspects Quills","2005-05-25 21:21:56",130,"2.99",3990,4,5
177,"Connecticut Tramp","2005-05-25 21:42:46",131,"4.99",815,4,5
738,"Rocketeer Mother","2005-05-25 21:46:54",132,"0.99",3367,3,6
89,"Borrowers Bedazzled","2005-05-25 21:48:30",133,"0.99",399,7,5
491,"Jumping Wrath","2005-05-25 21:48:41",134,"0.99",2272,4,8
21,"American Circus","2005-05-25 21:58:58",135,"4.99",103,3,9
500,"Kiss Glory","2005-05-25 22:02:30",136,"4.99",2296,5,6
569,"Menagerie Rushmore","2005-05-25 22:25:18",137,"2.99",2591,7,7
898,"Tourist Pelican","2005-05-25 22:48:22",138,"4.99",4134,4,4
73,"Bingo Talented","2005-05-25 23:00:21",139,"2.99",327,5,4
142,"Chicken Hellfighters","2005-05-25 23:34:22",140,"0.99",655,3,2
176,"Congeniality Quest","2005-05-25 23:34:53",141,"0.99",811,6,8
963,"Watch Tracy","2005-05-25 23:43:47",142,"0.99",4407,5,4
186,"Craft Outfield","2005-05-25 23:45:52",143,"0.99",847,6,2
368,"Gone Trouble","2005-05-25 23:49:56",144,"2.99",1689,7,7
852,"Strangelove Desire","2005-05-25 23:59:03",145,"0.99",3905,4,6
313,"Fidelity Devil","2005-05-26 00:07:11",146,"4.99",1431,5,9
138,"Chariots Conspiracy","2005-05-26 00:17:50",147,"2.99",633,5,3
924,"Unforgiven Zoolander","2005-05-26 00:25:23",148,"0.99",4252,7,6
242,"Doom Dancing","2005-05-26 00:28:05",149,"0.99",1084,4,7
202,"Daddy Pittsburgh","2005-05-26 00:28:39",150,"4.99",909,5,6
646,"Outbreak Divine","2005-05-26 00:37:28",151,"0.99",2942,6,4
575,"Midsummer Groundhog","2005-05-26 00:41:10",152,"4.99",2622,3,8
849,"Storm Happiness","2005-05-26 00:47:47",153,"0.99",3888,6,1
299,"Factory Dragon","2005-05-26 00:55:56",154,"0.99",1354,4,3
65,"Behavior Runaway","2005-05-26 01:15:05",155,"4.99",288,3,6
702,"Pulp Beverly","2005-05-26 01:19:05",156,"2.99",3193,4,1
197,"Crusade Honey","2005-05-26 01:25:21",157,"2.99",887,4,0
523,"Lights Deer","2005-05-26 01:27:11",158,"0.99",2395,7,8
757,"Sagebrush Clueless","2005-05-26 01:34:28",159,"2.99",3453,4,3
410,"Heaven Freedom","2005-05-26 01:46:20",160,"2.99",1885,7,6
646,"Outbreak Divine","2005-05-26 01:51:48",161,"0.99",2941,6,1
272,"Edge Kissing","2005-05-26 02:02:05",162,"4.99",1229,5,1
501,"Kissing Dolls","2005-05-26 02:26:23",163,"4.99",2306,3,9
239,"Dogma Family","2005-05-26 02:26:49",164,"4.99",1070,5,2
600,"Motions Details","2005-05-26 02:28:36",165,"0.99",2735,5,7
850,"Story Side","2005-05-26 02:49:11",166,"0.99",3894,7,5
190,"Creepers Kane","2005-05-26 02:50:31",167,"4.99",865,5,1
595,"Moon Bunch","2005-05-26 03:07:43",168,"0.99",2714,7,7
382,"Grit Clockwork","2005-05-26 03:09:30",169,"0.99",1758,3,1
806,"Sleepy Japanese","2005-05-26 03:11:12",170,"2.99",3688,4,7
979,"Witches Panic","2005-05-26 03:14:15",171,"4.99",4483,6,8
630,"Notting Speakeasy","2005-05-26 03:17:42",172,"0.99",2873,7,3
786,"Shepherd Midsummer","2005-05-26 03:42:10",173,"0.99",3596,7,2
862,"Summer Scarface","2005-05-26 03:44:10",174,"0.99",3954,5,2
947,"Vision Torque","2005-05-26 03:46:26",175,"0.99",4346,5,8
187,"Cranes Reservoir","2005-05-26 03:47:39",176,"2.99",851,5,6
775,"Seattle Expecations","2005-05-26 04:14:29",177,"4.99",3545,4,6
326,"Flying Hook","2005-05-26 04:21:46",178,"2.99",1489,6,9
563,"Massacre Usual","2005-05-26 04:26:06",179,"4.99",2575,6,8
603,"Movie Shakespeare","2005-05-26 04:46:23",180,"4.99",2752,6,6
527,"Lola Agent","2005-05-26 04:47:06",181,"4.99",2417,4,3
961,"Wash Heavenly","2005-05-26 04:49:17",182,"4.99",4396,7,6
631,"Novocaine Flight","2005-05-26 05:01:18",183,"0.99",2877,4,6
429,"Honey Ties","2005-05-26 05:29:49",184,"0.99",1970,3,2
571,"Metal Armageddon","2005-05-26 05:30:03",185,"2.99",2598,6,7
391,"Half Outfield","2005-05-26 05:32:52",186,"2.99",1799,6,8
872,"Sweet Brotherhood","2005-05-26 05:42:37",187,"2.99",4004,3,9
734,"Road Roxanne","2005-05-26 05:47:12",188,"4.99",3342,4,0
219,"Deep Crusade","2005-05-26 06:01:41",189,"4.99",984,6,1
863,"Sun Confessions","2005-05-26 06:11:28",190,"0.99",3962,5,6
951,"Voyage Legally","2005-05-26 06:14:06",191,"0.99",4365,6,2
413,"Hedwig Alter","2005-05-26 06:20:37",192,"2.99",1897,7,7
851,"Straight Hours","2005-05-26 06:41:48",193,"0.99",3900,3,4
295,"Expendable Stallion","2005-05-26 06:52:33",194,"0.99",1337,3,4
112,"Calendar Gunfight","2005-05-26 06:52:36",195,"4.99",506,4,5
43,"Atlantis Cause","2005-05-26 06:55:58",196,"2.99",190,6,1
915,"Truman Crazy","2005-05-26 06:59:21",197,"4.99",4212,7,8
388,"Gunfight Moon","2005-05-26 07:03:49",198,"0.99",1789,5,9
462,"Insider Arizona","2005-05-26 07:11:58",199,"2.99",2135,5,2
856,"Streetcar Intentions","2005-05-26 07:12:21",200,"4.99",3926,5,5
169,"Comforts Rush","2005-05-26 07:13:45",201,"2.99",776,3,9
147,"Chocolat Harry","2005-05-26 07:27:36",202,"0.99",674,5,7
740,"Rollercoaster Bringing","2005-05-26 07:27:57",203,"2.99",3374,5,8
401,"Harold French","2005-05-26 07:30:37",204,"0.99",1842,6,4
68,"Betrayed Rear","2005-05-26 07:59:37",205,"4.99",303,5,3
374,"Graffiti Love","2005-05-26 08:01:54",206,"0.99",1717,3,1
21,"American Circus","2005-05-26 08:04:38",207,"4.99",102,3,1
803,"Slacker Liaisons","2005-05-26 08:10:22",208,"4.99",3669,7,1
159,"Closer Bang","2005-05-26 08:14:01",209,"4.99",729,5,1
391,"Half Outfield","2005-05-26 08:14:15",210,"2.99",1801,6,1
872,"Sweet Brotherhood","2005-05-26 08:33:10",211,"2.99",4005,3,2
167,"Coma Head","2005-05-26 08:34:41",212,"4.99",764,6,4
329,"Forrest Sons","2005-05-26 08:44:08",213,"2.99",1505,4,5
319,"Fish Opus","2005-05-26 08:48:49",214,"2.99",1453,4,5
149,"Christmas Moonshine","2005-05-26 09:02:47",215,"0.99",679,7,2
306,"Feathers Metal","2005-05-26 09:17:43",216,"0.99",1398,3,8
961,"Wash Heavenly","2005-05-26 09:24:26",217,"4.99",4395,7,5
496,"Kick Savannah","2005-05-26 09:27:09",218,"0.99",2291,3,9
676,"Philadelphia Wife","2005-05-26 09:41:45",219,"4.99",3074,7,2
279,"Elizabeth Shane","2005-05-26 10:06:49",220,"4.99",1259,7,6
783,"Shane Darkness","2005-05-26 10:14:09",221,"2.99",3578,5,3
602,"Mourning Purple","2005-05-26 10:14:38",222,"0.99",2745,5,5
686,"Pluto Oleander","2005-05-26 10:15:23",223,"4.99",3121,5,4
933,"Vampire Whale","2005-05-26 10:18:27",224,"4.99",4285,4,9
141,"Chicago North","2005-05-26 10:27:50",225,"4.99",651,6,6
911,"Trip Newton","2005-05-26 10:44:04",226,"4.99",4181,7,5
48,"Backlash Undefeated","2005-05-26 10:51:46",227,"4.99",214,3,4
113,"California Birds","2005-05-26 10:54:28",228,"4.99",511,4,9
251,"Dragonfly Strangers","2005-05-26 11:19:20",229,"4.99",1131,6,5
242,"Doom Dancing","2005-05-26 11:31:50",230,"0.99",1085,4,4
878,"Teen Apollo","2005-05-26 11:31:59",231,"4.99",4032,3,1
646,"Outbreak Divine","2005-05-26 11:38:05",232,"0.99",2945,6,1
156,"Clerks Angels","2005-05-26 11:43:44",233,"4.99",715,3,2
292,"Excitement Eve","2005-05-26 11:47:20",234,"0.99",1321,3,8
773,"Seabiscuit Punk","2005-05-26 11:51:09",235,"2.99",3537,6,9
280,"Empire Malkovich","2005-05-26 11:53:49",236,"0.99",1265,7,2
54,"Banger Pinocchio","2005-05-26 12:15:13",237,"0.99",241,5,3
112,"Calendar Gunfight","2005-05-26 12:30:22",238,"4.99",503,4,1
26,"Annie Identity","2005-05-26 12:30:26",239,"0.99",131,3,6
749,"Rules Human","2005-05-26 12:40:23",240,"4.99",3420,6,9
970,"Westward Seabiscuit","2005-05-26 12:49:01",241,"0.99",4438,7,2
454,"Impact Aladdin","2005-05-26 13:05:08",242,"0.99",2095,6,7
375,"Grail Frankenstein","2005-05-26 13:06:05",243,"2.99",1721,4,8
232,"Dirty Ace","2005-05-26 13:40:40",244,"2.99",1041,7,5
668,"Peak Forever","2005-05-26 13:46:59",245,"4.99",3045,7,1
621,"Network Peak","2005-05-26 13:57:07",246,"2.99",2829,5,3
892,"Titanic Boondock","2005-05-26 14:01:05",247,"4.99",4095,3,2
416,"Highball Potter","2005-05-26 14:07:58",248,"0.99",1913,6,5
530,"Lord Arizona","2005-05-26 14:19:09",249,"2.99",2428,5,2
81,"Blindness Gun","2005-05-26 14:30:24",250,"4.99",368,6,1
948,"Voice Peach","2005-05-26 14:35:40",251,"0.99",4352,6,3
267,"Eagles Panky","2005-05-26 14:39:53",252,"4.99",1203,4,7
650,"Pacific Amistad","2005-05-26 14:43:14",253,"0.99",2969,3,1
398,"Hanover Galaxy","2005-05-26 14:43:48",254,"4.99",1835,5,5
719,"Records Zorro","2005-05-26 14:52:15",255,"4.99",3264,7,1
702,"Pulp Beverly","2005-05-26 15:20:58",256,"2.99",3194,4,5
563,"Massacre Usual","2005-05-26 15:27:05",257,"4.99",2570,6,3
773,"Seabiscuit Punk","2005-05-26 15:28:14",258,"2.99",3534,6,4
6,"Agent Truman","2005-05-26 15:32:46",259,"2.99",30,3,9
96,"Breaking Home","2005-05-26 15:42:20",260,"2.99",435,4,5
301,"Family Sweet","2005-05-26 15:44:23",261,"0.99",1369,4,7
927,"Uprising Uptown","2005-05-26 15:46:56",262,"2.99",4261,6,2
256,"Drop Waterfront","2005-05-26 15:47:40",263,"4.99",1160,6,4
449,"Identity Lover","2005-05-26 16:00:49",264,"2.99",2069,4,1
492,"Jungle Closer","2005-05-26 16:07:38",265,"0.99",2276,6,6
727,"Resurrection Silverado","2005-05-26 16:08:05",266,"0.99",3303,6,1
268,"Early Home","2005-05-26 16:16:21",267,"4.99",1206,6,4
374,"Graffiti Love","2005-05-26 16:19:08",268,"0.99",1714,3,1
767,"Scalawag Duck","2005-05-26 16:19:46",269,"4.99",3501,6,1
46,"Autumn Crow","2005-05-26 16:20:56",270,"4.99",207,3,8
521,"Lies Treatment","2005-05-26 16:22:01",271,"4.99",2388,7,8
216,"Day Unfaithful","2005-05-26 16:27:11",272,"4.99",971,3,8
349,"Gangs Pride","2005-05-26 16:29:36",273,"2.99",1590,4,3
142,"Chicken Hellfighters","2005-05-26 16:48:51",274,"0.99",656,3,8
374,"Graffiti Love","2005-05-26 17:09:53",275,"0.99",1718,3,9
271,"Easy Gladiator","2005-05-26 17:16:07",276,"4.99",1221,5,8
308,"Ferris Mother","2005-05-26 17:32:11",277,"2.99",1409,3,2
40,"Army Flintstones","2005-05-26 17:40:58",278,"0.99",182,4,7
143,"Chill Luck","2005-05-26 18:02:50",279,"0.99",661,6,8
413,"Hedwig Alter","2005-05-26 18:36:58",280,"2.99",1896,7,1
269,"Earring Instinct","2005-05-26 18:49:35",281,"0.99",1208,3,1
980,"Wizard Coldblooded","2005-05-26 18:56:26",282,"4.99",4486,4,6
772,"Sea Virgin","2005-05-26 19:05:05",283,"2.99",3530,4,5
77,"Birds Perdition","2005-05-26 19:21:44",284,"4.99",350,5,9
545,"Madness Attacks","2005-05-26 19:41:40",285,"0.99",2486,4,5
70,"Bikini Borrowers","2005-05-26 19:44:51",286,"4.99",314,7,9
792,"Shrek License","2005-05-26 19:44:54",287,"2.99",3631,7,7
775,"Seattle Expecations","2005-05-26 19:47:49",288,"4.99",3546,4,8
534,"Louisiana Harry","2005-05-26 20:01:09",289,"0.99",2449,5,2
609,"Muscle Bright","2005-05-26 20:08:33",290,"2.99",2776,7,4
109,"Butterfly Chocolat","2005-05-26 20:20:47",291,"0.99",485,3,8
927,"Uprising Uptown","2005-05-26 20:22:12",292,"2.99",4264,6,10
397,"Hanky October","2005-05-26 20:27:02",293,"2.99",1828,5,8
603,"Movie Shakespeare","2005-05-26 20:29:57",294,"4.99",2751,6,2
878,"Teen Apollo","2005-05-26 20:33:20",295,"4.99",4030,3,1
848,"Stone Fire","2005-05-26 20:35:19",296,"0.99",3878,3,9
349,"Gangs Pride","2005-05-26 20:48:48",297,"2.99",1594,4,1
241,"Donnie Alley","2005-05-26 20:52:26",298,"0.99",1083,4,3
956,"Wanda Chamber","2005-05-26 20:55:36",299,"4.99",4376,7,2
56,"Barefoot Manchurian","2005-05-26 20:57:00",300,"2.99",249,6,10
756,"Saddle Antitrust","2005-05-26 21:06:14",301,"2.99",3448,7,6
641,"Orange Grapes","2005-05-26 21:13:46",302,"0.99",2921,4,8
246,"Doubtfire Labyrinth","2005-05-26 21:16:52",303,"4.99",1111,5,1
370,"Gorgeous Bingo","2005-05-26 21:21:28",304,"2.99",1701,4,7
585,"Mob Duffel","2005-05-26 21:22:07",305,"0.99",2665,4,7
610,"Music Boondock","2005-05-26 21:31:57",306,"0.99",2781,7,2
244,"Dorado Notting","2005-05-26 21:48:13",307,"4.99",1097,5,9
42,"Artist Coldblooded","2005-05-26 22:01:39",308,"2.99",187,5,9
424,"Holocaust Highball","2005-05-26 22:38:10",309,"0.99",1946,6,7
129,"Cause Date","2005-05-26 22:41:07",310,"2.99",593,3,7
621,"Network Peak","2005-05-26 22:51:37",311,"2.99",2830,5,6
437,"House Dynamite","2005-05-26 22:52:19",312,"2.99",2008,7,7
902,"Trading Pinocchio","2005-05-26 22:56:19",313,"4.99",4156,6,3
625,"None Spiking","2005-05-26 23:09:41",314,"0.99",2851,3,2
624,"Nightmare Chill","2005-05-26 23:12:55",315,"4.99",2847,3,3
838,"Stagecoach Armageddon","2005-05-26 23:22:55",316,"4.99",3828,5,3
6,"Agent Truman","2005-05-26 23:23:56",317,"2.99",26,3,6
561,"Mask Peach","2005-05-26 23:37:39",318,"2.99",2559,6,8
664,"Patriot Roman","2005-05-26 23:52:13",319,"2.99",3024,6,4
243,"Doors President","2005-05-27 00:09:24",320,"4.99",1090,3,1
994,"Wyoming Storm","2005-05-27 00:47:35",322,"4.99",4556,6,6
514,"Lebowski Soldiers","2005-05-27 00:49:27",323,"2.99",2362,6,3
738,"Rocketeer Mother","2005-05-27 01:00:04",324,"0.99",3364,3,3
551,"Maiden Home","2005-05-27 01:09:55",325,"4.99",2510,3,4
867,"Super Wyoming","2005-05-27 01:10:11",326,"4.99",3979,5,8
588,"Model Fish","2005-05-27 01:18:57",327,"4.99",2678,4,8
554,"Malkovich Pet","2005-05-27 01:29:31",328,"2.99",2524,6,5
583,"Mission Zoolander","2005-05-27 01:57:14",329,"4.99",2659,3,4
336,"French Holiday","2005-05-27 02:15:30",330,"4.99",1536,5,8
408,"Head Stranger","2005-05-27 02:22:26",331,"4.99",1872,4,9
334,"Freddy Storm","2005-05-27 02:27:10",332,"4.99",1529,6,7
871,"Sweden Shining","2005-05-27 02:52:21",333,"4.99",4001,6,5
865,"Sunrise League","2005-05-27 03:03:07",334,"4.99",3973,3,2
309,"Feud Frogmen","2005-05-27 03:07:10",335,"0.99",1411,6,9
393,"Halloween Nuts","2005-05-27 03:15:23",336,"2.99",1811,6,2
164,"Coast Rainbow","2005-05-27 03:22:30",337,"0.99",751,4,6
570,"Mermaid Insects","2005-05-27 03:42:52",338,"4.99",2596,5,5
526,"Lock Rear","2005-05-27 03:47:18",339,"2.99",2410,7,8
210,"Darko Dorado","2005-05-27 03:55:25",340,"4.99",946,3,8
906,"Tramp Others","2005-05-27 04:01:42",341,"0.99",4168,4,9
875,"Talented Homicide","2005-05-27 04:11:04",342,"0.99",4019,6,2
727,"Resurrection Silverado","2005-05-27 04:13:41",343,"0.99",3301,6,1
505,"Labyrinth League","2005-05-27 04:30:22",344,"2.99",2327,6,2
305,"Fatal Haunted","2005-05-27 04:32:25",345,"2.99",1396,6,4
941,"Videotape Arsenic","2005-05-27 04:34:41",346,"4.99",4319,4,9
355,"Ghostbusters Elf","2005-05-27 04:40:33",347,"0.99",1625,7,1
396,"Hanging Deep","2005-05-27 04:50:56",348,"4.99",1825,5,5
641,"Orange Grapes","2005-05-27 04:53:11",349,"0.99",2920,4,1
604,"Mulan Moon","2005-05-27 05:01:28",350,"0.99",2756,4,8
739,"Rocky War","2005-05-27 05:39:03",351,"4.99",3371,4,5
953,"Wait Cider","2005-05-27 05:48:19",352,"0.99",4369,3,2
869,"Suspects Quills","2005-05-27 06:03:39",353,"2.99",3989,4,7
447,"Ice Crossing","2005-05-27 06:12:26",354,"2.99",2058,5,5
28,"Anthem Luke","2005-05-27 06:15:33",355,"4.99",141,5,5
628,"Northwest Polish","2005-05-27 06:32:30",356,"2.99",2868,5,3
966,"Wedding Apollo","2005-05-27 06:37:15",357,"0.99",4417,3,3
418,"Hobbit Alien","2005-05-27 06:43:59",358,"0.99",1925,5,2
255,"Driving Polish","2005-05-27 06:48:33",359,"4.99",1156,6,2
764,"Saturday Lambs","2005-05-27 06:51:14",360,"4.99",3489,3,7
1,"Academy Dinosaur","2005-05-27 07:03:28",361,"0.99",6,6,4
504,"Kwai Homeward","2005-05-27 07:10:25",362,"0.99",2324,5,5
932,"Valley Packer","2005-05-27 07:14:00",363,"0.99",4282,3,1
182,"Control Anthem","2005-05-27 07:20:12",364,"4.99",833,7,4
